"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-05",101.0789,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-06",101.0013,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-07",100.8948,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-08",100.7758,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-09",100.6715,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-10",100.6007,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-11",100.5721,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2004-12",100.5588,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.5247,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.4628,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.3844,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.3262,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.3137,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.3446,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.3938,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.4646,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.5708,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.724,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.9089,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-12",101.0851,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-01",101.2209,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-02",101.3062,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-03",101.3353,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-04",101.3054,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-05",101.2415,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.1834,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.1506,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.1647,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.2318,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.3309,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-11",101.448,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-12",101.5729,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-01",101.6933,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-02",101.8102,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-03",101.9305,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-04",102.0444,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-05",102.1308,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-06",102.1754,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-07",102.1619,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-08",102.0871,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-09",101.979,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-10",101.8585,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-11",101.7309,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-12",101.6082,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-01",101.4798,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-02",101.3319,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-03",101.1644,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-04",100.9555,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-05",100.6737,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-06",100.2811,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-07",99.7437,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-08",99.04642,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-09",98.20311,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-10",97.27612,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-11",96.38882,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-12",95.64251,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-01",95.10123,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-02",94.80253,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-03",94.76417,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-04",94.97569,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-05",95.36806,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-06",95.86977,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-07",96.41807,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-08",96.97207,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-09",97.5008,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-10",97.98605,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-11",98.43012,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-12",98.83804,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-01",99.19005,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-02",99.45107,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-03",99.62489,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-04",99.69469,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-05",99.67072,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-06",99.59248,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-07",99.52486,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-08",99.51852,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-09",99.58582,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-10",99.71458,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-11",99.89545,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.0884,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.2521,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.3509,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.3488,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.2435,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.0465,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-06",99.77991,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-07",99.49363,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-08",99.25172,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-09",99.12444,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-10",99.14287,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-11",99.2868,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-12",99.50371,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-01",99.72057,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-02",99.87263,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-03",99.93271,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-04",99.90459,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-05",99.8118,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-06",99.69522,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-07",99.60623,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-08",99.57199,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-09",99.60523,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-10",99.67945,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-11",99.77619,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-12",99.89803,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-01",100.04,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-02",100.1851,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-03",100.3071,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-04",100.4213,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-05",100.5344,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-06",100.6236,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-07",100.6774,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-08",100.7087,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-09",100.7212,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-10",100.7246,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-11",100.7282,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-12",100.721,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-01",100.7091,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-02",100.7261,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-03",100.7724,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-04",100.83,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-05",100.8807,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-06",100.9181,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-07",100.9373,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-08",100.941,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-09",100.9306,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-10",100.9024,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-11",100.8567,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-12",100.7878,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-01",100.6969,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-02",100.5906,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-03",100.4792,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-04",100.3682,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-05",100.2507,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-06",100.1227,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-07",99.96289,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-08",99.78347,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-09",99.61057,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-10",99.46815,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-11",99.34845,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-12",99.2442,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-01",99.1592,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-02",99.10079,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-03",99.07903,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-04",99.07615,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-05",99.0761,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-06",99.07256,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-07",99.08393,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-08",99.12382,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-09",99.20682,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-10",99.33022,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-11",99.48127,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-12",99.63734,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-01",99.76431,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-02",99.84838,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-03",99.88908,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-04",99.90274,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-05",99.91,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-06",99.92577,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-07",99.95693,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-08",100.029,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-09",100.1326,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-10",100.2557,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-11",100.3807,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.5045,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.6268,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.7387,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.8117,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.8373,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.8252,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.7822,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.7105,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.6129,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.4742,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.2887,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.0727,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.84918,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.64113,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.46684,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.32806,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.20252,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.0862,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-06",98.97952,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-07",98.89021,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-08",98.83049,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-09",98.82976,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-10",98.8852,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-11",98.97121,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.05483,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.09734,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.06813,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.66722,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.62319,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-05",94.32196,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-06",96.17052,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-07",97.72092,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-08",98.43841,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.72652,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-10",99.08319,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-11",99.47733,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-12",99.89468,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-01",100.2705,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-02",100.6472,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-03",100.9771,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-04",101.2526,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-05",101.3336,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-06",101.3408,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-07",101.2905,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-08",101.2167,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-09",101.1544,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-10",101.109,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-11",101.072,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-12",101.0232,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-01",100.9425,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-02",100.8217,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-03",100.6459,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-04",100.414,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-05",100.1296,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-06",99.8346,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-07",99.57693,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-08",99.37162,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-09",99.20307,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-10",99.06164,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-11",98.94965,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-12",98.87978,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-01",98.84712,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-02",98.83434,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-03",98.84515,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-04",98.89799,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-05",98.99199,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-06",99.11828,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-07",99.24326,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-08",99.34666,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2023-09",99.42249,
